"Time (s)","X (hPa)"
1.057549142E3,9.601368713E2
1.058474683E3,9.601550293E2
1.059400316E3,9.601742554E2
1.060326016E3,9.601917267E2
1.061251899E3,9.602067566E2
1.062177480E3,9.602249146E2
1.063103156E3,9.602399445E2
1.064028973E3,9.602527618E2
1.064954845E3,9.602616882E2
1.065880798E3,9.602774048E2
1.066806787E3,9.602906036E2
1.067732790E3,9.603016663E2
1.068658715E3,9.603108215E2
1.069584719E3,9.603252411E2
1.070510779E3,9.603280640E2
1.071436730E3,9.603353882E2
1.072362568E3,9.603479767E2
1.073288476E3,9.603651428E2
1.074214335E3,9.603832245E2
1.075140047E3,9.604087067E2
1.076065956E3,9.604278564E2
1.076991922E3,9.604480743E2
1.077917885E3,9.604663086E2
1.078843888E3,9.604847717E2
1.079769953E3,9.605007172E2
1.080695874E3,9.605185699E2
1.081621894E3,9.605371857E2
1.082547910E3,9.605606842E2
1.083473767E3,9.605840302E2
1.084399653E3,9.606008148E2
1.085325524E3,9.606101990E2
1.086251520E3,9.606122589E2
1.087177469E3,9.606122589E2
1.088103455E3,9.606086731E2
1.089029515E3,9.606086731E2
