"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.135863754E2,2.741801453E1,-4.136794281E1,1.797485352E0
1.135963124E2,2.741801453E1,-4.136794281E1,1.797485352E0
1.136062484E2,2.742811584E1,-4.142443466E1,1.913940430E0
1.136161854E2,2.742811584E1,-4.142443466E1,1.913940430E0
1.136261224E2,2.758708191E1,-4.151084900E1,1.883911133E0
1.136360584E2,2.758708191E1,-4.151084900E1,1.883911133E0
1.136459954E2,2.792301941E1,-4.148566818E1,2.252990723E0
1.136559324E2,2.792301941E1,-4.148566818E1,2.252990723E0
1.136658684E2,2.790144348E1,-4.104396057E1,3.360351562E0
1.136758054E2,2.790144348E1,-4.104396057E1,3.360351562E0
1.136857424E2,2.820896912E1,-4.088544083E1,4.457031250E0
1.136956784E2,2.820896912E1,-4.088544083E1,4.457031250E0
1.137056154E2,2.839192200E1,-4.035408020E1,6.370910645E0
1.137155524E2,2.839192200E1,-4.035408020E1,6.370910645E0
1.137254884E2,2.824516296E1,-4.051970673E1,8.168090820E0
1.137354254E2,2.824516296E1,-4.051970673E1,8.168090820E0
1.137453624E2,2.817921448E1,-3.992685318E1,9.350341797E0
1.137552984E2,2.817921448E1,-3.992685318E1,9.350341797E0
1.137652354E2,2.842085266E1,-3.961122131E1,1.025921631E1
1.137751724E2,2.842085266E1,-3.961122131E1,1.025921631E1
1.137851084E2,2.844392395E1,-3.945177841E1,1.091772461E1
1.137950454E2,2.844392395E1,-3.945177841E1,1.091772461E1
1.138049824E2,2.861491394E1,-3.917890930E1,1.114819336E1
1.138149194E2,2.861491394E1,-3.917890930E1,1.114819336E1
1.138248554E2,2.882038879E1,-3.882624817E1,1.136303711E1
1.138347924E2,2.882038879E1,-3.882624817E1,1.136303711E1
1.138447294E2,2.920741272E1,-3.868821335E1,1.207672119E1
1.138546654E2,2.920741272E1,-3.868821335E1,1.207672119E1
1.138646024E2,2.922523499E1,-3.812454987E1,1.260656738E1
1.138745394E2,2.922523499E1,-3.812454987E1,1.260656738E1
1.138844754E2,2.887715149E1,-3.798184967E1,1.302801514E1
1.138944124E2,2.887715149E1,-3.798184967E1,1.302801514E1
1.139043494E2,2.878837585E1,-3.799773788E1,1.362182617E1
1.139142854E2,2.878837585E1,-3.799773788E1,1.362182617E1
1.139242224E2,2.832746887E1,-3.797682571E1,1.442193604E1
1.139341594E2,2.832746887E1,-3.797682571E1,1.442193604E1
1.139440954E2,2.824626160E1,-3.783358002E1,1.536016846E1
1.139540324E2,2.824626160E1,-3.783358002E1,1.536016846E1
1.139639694E2,2.783262634E1,-3.777964020E1,1.595233154E1
1.139739053E2,2.783262634E1,-3.777964020E1,1.595233154E1
1.139838423E2,2.762501526E1,-3.773984146E1,1.631170654E1
1.139937793E2,2.762501526E1,-3.773984146E1,1.631170654E1
1.140037153E2,2.730540466E1,-3.762766647E1,1.660870361E1
1.140136523E2,2.730540466E1,-3.762766647E1,1.660870361E1
1.140235893E2,2.708860779E1,-3.784243393E1,1.697906494E1
1.140335253E2,2.708860779E1,-3.784243393E1,1.697906494E1
1.140434623E2,2.690626526E1,-3.805195236E1,1.661108398E1
1.140533993E2,2.690626526E1,-3.805195236E1,1.661108398E1
1.140633353E2,2.705418396E1,-3.817520905E1,1.574395752E1
1.140732723E2,2.705418396E1,-3.817520905E1,1.574395752E1
1.140832093E2,2.707508850E1,-3.865117264E1,1.481286621E1
1.140931453E2,2.707508850E1,-3.865117264E1,1.481286621E1
1.141030823E2,2.696525574E1,-3.907219696E1,1.346984863E1
1.141130193E2,2.696525574E1,-3.907219696E1,1.346984863E1
