"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.568275262E1,2.452009583E1,-4.065430450E1,6.498291016E0
5.569268862E1,2.452009583E1,-4.065430450E1,6.498291016E0
5.570262362E1,2.480317688E1,-4.055524445E1,6.328063965E0
5.571255962E1,2.480317688E1,-4.055524445E1,6.328063965E0
5.572249463E1,2.511824036E1,-4.051793671E1,5.826782227E0
5.573243063E1,2.511824036E1,-4.051793671E1,5.826782227E0
5.574236562E1,2.556776428E1,-4.016780090E1,5.358886719E0
5.575230162E1,2.556776428E1,-4.016780090E1,5.358886719E0
5.576223762E1,2.597209167E1,-4.014046478E1,4.405700684E0
5.577217262E1,2.597209167E1,-4.014046478E1,4.405700684E0
5.578210862E1,2.641075134E1,-4.000113678E1,3.694702148E0
5.579204363E1,2.641075134E1,-4.000113678E1,3.694702148E0
5.580197963E1,2.672941589E1,-3.953881073E1,2.929748535E0
