"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.525069583E0,7.164700928E0,-6.689588928E-1,-9.116791534E0
2.535005583E0,7.568860474E0,-1.340163116E0,-8.766220551E0
2.544940583E0,7.190447388E0,-1.503323822E0,-8.832981720E0
2.554876583E0,6.958130493E0,-1.096469879E0,-8.843609619E0
2.564812583E0,6.470893707E0,-3.201841736E-1,-8.640182648E0
2.574748583E0,5.768554230E0,6.710545349E-1,-8.466394043E0
2.584684583E0,5.332061920E0,1.876797180E0,-8.017477570E0
2.594620583E0,5.138065338E0,3.209176483E0,-7.683522034E0
2.604556583E0,5.011428680E0,4.210893402E0,-7.567363586E0
2.614492583E0,4.898862762E0,4.514761505E0,-7.483537903E0
2.624427583E0,5.147196350E0,4.440366211E0,-6.633156281E0
2.634363583E0,5.513634338E0,4.332141266E0,-6.204597473E0
2.644299583E0,5.261259155E0,3.998485107E0,-6.562802582E0
2.654235583E0,5.307662659E0,4.029171295E0,-7.041956177E0
2.664171583E0,5.324427795E0,4.702920227E0,-6.056705017E0
2.674107583E0,4.411925354E0,5.535189514E0,-4.850662994E0
2.684043583E0,3.285068665E0,6.467750244E0,-5.380710754E0
2.693979583E0,2.689008179E0,7.220385132E0,-6.816524963E0
2.703914583E0,2.111509094E0,7.241341553E0,-7.286846924E0
2.713850583E0,2.200723572E0,6.827003174E0,-7.050638123E0
2.723786583E0,2.477647705E0,6.196514282E0,-7.000791779E0
2.733722583E0,2.974464569E0,5.890251160E0,-6.442752228E0
2.743658583E0,3.529959412E0,5.566624146E0,-6.255791016E0
2.753594583E0,3.634591827E0,5.619164886E0,-6.822662201E0
2.763530583E0,3.621868286E0,5.060227203E0,-7.254963226E0
2.773466583E0,3.306324463E0,4.099674683E0,-7.451803894E0
2.783401583E0,2.812950439E0,3.594475250E0,-7.708969116E0
2.793337583E0,1.782493286E0,3.098406830E0,-7.955356750E0
2.803273583E0,1.121318207E0,2.705024872E0,-7.539222107E0
2.813209583E0,1.388213196E0,2.726430359E0,-6.520290985E0
2.823145583E0,1.922003174E0,2.839145966E0,-5.906267853E0
2.833081583E0,2.744692383E0,3.514990540E0,-5.680986328E0
2.843017583E0,3.351979523E0,4.485272827E0,-5.195695496E0
2.852953583E0,3.834725647E0,4.765340424E0,-3.502117310E0
2.862888583E0,3.166066132E0,4.564907227E0,-9.363029480E-1
2.872824583E0,1.383423157E0,4.736151123E0,1.770218811E0
2.882760583E0,-9.376501465E-1,8.595725098E0,2.008867538E1
2.892696583E0,-2.966830444E-1,7.423812103E0,7.104076996E0
2.902632583E0,1.411714325E0,4.626728668E0,-4.323309631E0
2.912568583E0,2.149679718E0,5.111570435E0,-1.714534607E0
2.922504583E0,3.682791595E0,3.757037201E0,-9.747729492E-1
2.932440583E0,4.045936432E0,2.517015839E0,-1.670226746E0
2.942376583E0,3.004402313E0,1.921554108E0,-1.140628052E0
2.952311583E0,5.647755432E-1,2.020049286E0,7.185058594E-3
