"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.410604958E0,-4.500573383E-1,-1.147059989E0,-5.193587574E-1
3.420540958E0,-4.655766526E-1,-7.993114561E-1,-8.761526406E-1
3.430476958E0,-8.842320308E-1,-1.088155138E-1,-1.227960895E0
3.440412958E0,-4.756576909E-1,-6.639957762E-1,-1.307438882E0
3.450348958E0,1.878958896E-2,-1.159932050E0,-1.512019947E0
3.460284958E0,1.126804503E-1,-9.250160676E-1,-1.592612998E0
3.470220958E0,-2.795947029E-1,-6.677800941E-1,-1.357323379E0
3.480156958E0,-4.061590013E-1,-7.518080914E-1,-1.001104131E0
3.490092958E0,-1.675205357E-1,-9.420156777E-1,-7.126143511E-1
3.500028958E0,2.063185658E-1,-7.610145324E-1,-6.845567791E-1
3.509963958E0,-7.547556728E-2,-3.361809862E-1,-6.021953845E-1
3.519899958E0,-9.958857831E-1,-4.223473102E-1,-6.394667065E-1
3.529835958E0,-9.713929662E-1,-4.276454723E-1,-5.836947942E-1
3.539771958E0,-5.436358121E-1,-3.094486856E-1,-4.139825758E-1
3.549707958E0,-7.831016587E-1,-6.110808134E-1,-3.703588387E-1
3.559643958E0,-7.107020192E-1,-7.261230272E-1,-1.286191562E-1
3.569579958E0,-5.094914348E-1,-1.435321873E-1,3.279536614E-1
3.579515958E0,-3.852920428E-2,1.875810170E-1,5.856860635E-1
3.589451958E0,3.923617651E-1,3.401103151E-1,7.209918031E-1
3.599387958E0,-3.349106786E-1,1.508024399E0,9.289728785E-1
3.609322958E0,-6.472968592E-1,1.183282320E0,1.277697019E0
3.619258958E0,-2.073897757E-1,-2.093209648E-1,1.419822951E0
3.629194958E0,-5.857410273E-1,-4.694144726E-1,1.528903052E0
3.639130958E0,-1.246760863E0,2.397036821E-1,1.517178215E0
3.649066958E0,-1.186766530E0,6.409858131E-1,1.716409517E0
3.659002958E0,-1.005157274E0,5.789445162E-1,1.836855727E0
3.668938958E0,-8.243898717E-1,6.351193017E-1,1.843580317E0
3.678874958E0,-5.873561013E-1,6.506331342E-1,1.816083494E0
3.688810958E0,-5.638312179E-1,-2.713692784E-2,1.607797194E0
3.698746958E0,-7.595242234E-1,-1.250894845E-1,1.186940046E0
3.708682958E0,-8.055067272E-1,1.164087081E-1,6.955903289E-1
3.718617958E0,-8.195717660E-1,6.134489357E-2,3.548768735E-1
3.728553958E0,-8.490604439E-1,2.613401341E-1,1.431164503E-1
3.738489958E0,-8.427742486E-1,5.055572820E-1,5.115641266E-2
3.748425958E0,-6.530948851E-1,4.851838285E-1,-1.574041218E-2
3.758361958E0,-4.968911237E-1,5.209430605E-1,-1.200760818E-1
3.768297958E0,-3.831754238E-1,6.381002122E-1,-2.107041237E-1
3.778233958E0,-2.376552562E-1,8.014129454E-1,-2.936077014E-1
3.788169958E0,-8.429536119E-2,8.593319553E-1,-3.945107630E-1
3.798105958E0,4.509255767E-2,8.927294970E-1,-4.783630514E-1
3.808041958E0,1.009906237E-1,1.668477843E0,-2.123221944E0
3.817977958E0,1.340889341E0,-5.302722931E-2,-2.431168188E0
3.827913958E0,1.506475910E0,-4.165129584E-1,-2.059688584E0
3.837848958E0,5.135061331E-1,7.201091659E-1,-1.984713685E0
3.847784958E0,-3.271273036E-1,7.623652393E-1,-1.840885774E0
